Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Add:         021W4JA Bypass Thor Aorta Desc to Innom Art w Synth Sub, Perc Endo   Bypass Thoracic Aorta, Descending to Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         021W4KA Bypass Thor Aorta Desc to Innom Art w Nonaut Sub, Perc Endo  Bypass Thoracic Aorta, Descending to Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         021W4ZA Bypass Thor Aorta Desc to Innom Art, Perc Endo Approach      Bypass Thoracic Aorta, Descending to Innominate Artery, Percutaneous Endoscopic Approach
Add:         021X08A Bypass Thor Aorta Asc to Innom Art w Zooplastic, Open        Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Zooplastic Tissue, Open Approach
Add:         021X09A Bypass Thor Aorta Asc to Innom Art w Autol Vn, Open          Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Venous Tissue, Open Approach
Add:         021X0AA Bypass Thor Aorta Asc to Innom Art w Autol Art, Open         Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Arterial Tissue, Open Approach
Add:         021X0JA Bypass Thor Aorta Asc to Innom Art w Synth Sub, Open         Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Synthetic Substitute, Open Approach
Add:         021X0KA Bypass Thor Aorta Asc to Innom Art w Nonaut Sub, Open        Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Nonautologous Tissue Substitute, Open Approach
Add:         021X0ZA Bypass Thor Aorta Asc to Innom Art, Open Approach            Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery, Open Approach
Add:         021X48A Bypass Thor Aorta Asc to Innom Art w Zooplastic, Perc Endo   Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021X49A Bypass Thor Aorta Asc to Innom Art w Autol Vn, Perc Endo     Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Add:         021X4AA Bypass Thor Aorta Asc to Innom Art w Autol Art, Perc Endo    Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
Add:         021X4JA Bypass Thor Aorta Asc to Innom Art w Synth Sub, Perc Endo    Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         021X4KA Bypass Thor Aorta Asc to Innom Art w Nonaut Sub, Perc Endo   Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         021X4ZA Bypass Thor Aorta Asc to Innom Art, Perc Endo Approach       Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery, Percutaneous Endoscopic Approach
Add:         02H00DZ Insertion of Intralum Dev into 1 Cor Art, Open Approach      Insertion of Intraluminal Device into Coronary Artery, One Artery, Open Approach
Add:         02H00YZ Insertion of Other Device into 1 Cor Art, Open Approach      Insertion of Other Device into Coronary Artery, One Artery, Open Approach
Add:         02H03DZ Insertion of Intralum Dev into 1 Cor Art, Perc Approach      Insertion of Intraluminal Device into Coronary Artery, One Artery, Percutaneous Approach
Add:         02H03YZ Insertion of Other Device into 1 Cor Art, Perc Approach      Insertion of Other Device into Coronary Artery, One Artery, Percutaneous Approach
Add:         02H04DZ Insertion of Intralum Dev into 1 Cor Art, Perc Endo Approach Insertion of Intraluminal Device into Coronary Artery, One Artery, Percutaneous Endoscopic Approach
Add:         02H04YZ Insertion of Other Device into 1 Cor Art, Perc Endo Approach Insertion of Other Device into Coronary Artery, One Artery, Percutaneous Endoscopic Approach
Add:         02H10DZ Insertion of Intralum Dev into 2 Cor Art, Open Approach      Insertion of Intraluminal Device into Coronary Artery, Two Arteries, Open Approach
Add:         02H10YZ Insertion of Other Device into 2 Cor Art, Open Approach      Insertion of Other Device into Coronary Artery, Two Arteries, Open Approach
Add:         02H13DZ Insertion of Intralum Dev into 2 Cor Art, Perc Approach      Insertion of Intraluminal Device into Coronary Artery, Two Arteries, Percutaneous Approach
Add:         02H13YZ Insertion of Other Device into 2 Cor Art, Perc Approach      Insertion of Other Device into Coronary Artery, Two Arteries, Percutaneous Approach
Add:         02H14DZ Insertion of Intralum Dev into 2 Cor Art, Perc Endo Approach Insertion of Intraluminal Device into Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach
Add:         02H14YZ Insertion of Other Device into 2 Cor Art, Perc Endo Approach Insertion of Other Device into Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach
Add:         02H20DZ Insertion of Intralum Dev into 3 Cor Art, Open Approach      Insertion of Intraluminal Device into Coronary Artery, Three Arteries, Open Approach
Add:         02H20YZ Insertion of Other Device into 3 Cor Art, Open Approach      Insertion of Other Device into Coronary Artery, Three Arteries, Open Approach
Add:         02H23DZ Insertion of Intralum Dev into 3 Cor Art, Perc Approach      Insertion of Intraluminal Device into Coronary Artery, Three Arteries, Percutaneous Approach
Add:         02H23YZ Insertion of Other Device into 3 Cor Art, Perc Approach      Insertion of Other Device into Coronary Artery, Three Arteries, Percutaneous Approach
Add:         02H24DZ Insertion of Intralum Dev into 3 Cor Art, Perc Endo Approach Insertion of Intraluminal Device into Coronary Artery, Three Arteries, Percutaneous Endoscopic Approach
Add:         02H24YZ Insertion of Other Device into 3 Cor Art, Perc Endo Approach Insertion of Other Device into Coronary Artery, Three Arteries, Percutaneous Endoscopic Approach
Add:         02H30DZ Insertion of Intralum Dev into 4+ Cor Art, Open Approach     Insertion of Intraluminal Device into Coronary Artery, Four or More Arteries, Open Approach
Add:         02H30YZ Insertion of Other Device into 4+ Cor Art, Open Approach     Insertion of Other Device into Coronary Artery, Four or More Arteries, Open Approach
Add:         02H33DZ Insertion of Intralum Dev into 4+ Cor Art, Perc Approach     Insertion of Intraluminal Device into Coronary Artery, Four or More Arteries, Percutaneous Approach
Add:         02H33YZ Insertion of Other Device into 4+ Cor Art, Perc Approach     Insertion of Other Device into Coronary Artery, Four or More Arteries, Percutaneous Approach
Add:         02H34DZ Insert of Intralum Dev into 4+ Cor Art, Perc Endo Approach   Insertion of Intraluminal Device into Coronary Artery, Four or More Arteries, Percutaneous Endoscopic Approach
Add:         02H34YZ Insertion of Oth Dev into 4+ Cor Art, Perc Endo Approach     Insertion of Other Device into Coronary Artery, Four or More Arteries, Percutaneous Endoscopic Approach
Add:         02U007Z Supplement 1 Cor Art with Autol Sub, Open Approach           Supplement Coronary Artery, One Artery with Autologous Tissue Substitute, Open Approach
Add:         02U008Z Supplement 1 Cor Art with Zooplastic, Open Approach          Supplement Coronary Artery, One Artery with Zooplastic Tissue, Open Approach
Add:         02U00JZ Supplement 1 Cor Art with Synth Sub, Open Approach           Supplement Coronary Artery, One Artery with Synthetic Substitute, Open Approach
Add:         02U00KZ Supplement 1 Cor Art with Nonaut Sub, Open Approach          Supplement Coronary Artery, One Artery with Nonautologous Tissue Substitute, Open Approach
Add:         02U037Z Supplement 1 Cor Art with Autol Sub, Perc Approach           Supplement Coronary Artery, One Artery with Autologous Tissue Substitute, Percutaneous Approach
Add:         02U038Z Supplement 1 Cor Art with Zooplastic, Perc Approach          Supplement Coronary Artery, One Artery with Zooplastic Tissue, Percutaneous Approach
Add:         02U03JZ Supplement 1 Cor Art with Synth Sub, Perc Approach           Supplement Coronary Artery, One Artery with Synthetic Substitute, Percutaneous Approach
Add:         02U03KZ Supplement 1 Cor Art with Nonaut Sub, Perc Approach          Supplement Coronary Artery, One Artery with Nonautologous Tissue Substitute, Percutaneous Approach
Add:         02U047Z Supplement 1 Cor Art with Autol Sub, Perc Endo Approach      Supplement Coronary Artery, One Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         02U048Z Supplement 1 Cor Art with Zooplastic, Perc Endo Approach     Supplement Coronary Artery, One Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         02U04JZ Supplement 1 Cor Art with Synth Sub, Perc Endo Approach      Supplement Coronary Artery, One Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         02U04KZ Supplement 1 Cor Art with Nonaut Sub, Perc Endo Approach     Supplement Coronary Artery, One Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         02U107Z Supplement 2 Cor Art with Autol Sub, Open Approach           Supplement Coronary Artery, Two Arteries with Autologous Tissue Substitute, Open Approach
Add:         02U108Z Supplement 2 Cor Art with Zooplastic, Open Approach          Supplement Coronary Artery, Two Arteries with Zooplastic Tissue, Open Approach
Add:         02U10JZ Supplement 2 Cor Art with Synth Sub, Open Approach           Supplement Coronary Artery, Two Arteries with Synthetic Substitute, Open Approach
Add:         02U10KZ Supplement 2 Cor Art with Nonaut Sub, Open Approach          Supplement Coronary Artery, Two Arteries with Nonautologous Tissue Substitute, Open Approach
Add:         02U137Z Supplement 2 Cor Art with Autol Sub, Perc Approach           Supplement Coronary Artery, Two Arteries with Autologous Tissue Substitute, Percutaneous Approach
Add:         02U138Z Supplement 2 Cor Art with Zooplastic, Perc Approach          Supplement Coronary Artery, Two Arteries with Zooplastic Tissue, Percutaneous Approach
Add:         02U13JZ Supplement 2 Cor Art with Synth Sub, Perc Approach           Supplement Coronary Artery, Two Arteries with Synthetic Substitute, Percutaneous Approach
Add:         02U13KZ Supplement 2 Cor Art with Nonaut Sub, Perc Approach          Supplement Coronary Artery, Two Arteries with Nonautologous Tissue Substitute, Percutaneous Approach
Add:         02U147Z Supplement 2 Cor Art with Autol Sub, Perc Endo Approach      Supplement Coronary Artery, Two Arteries with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         02U148Z Supplement 2 Cor Art with Zooplastic, Perc Endo Approach     Supplement Coronary Artery, Two Arteries with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         02U14JZ Supplement 2 Cor Art with Synth Sub, Perc Endo Approach      Supplement Coronary Artery, Two Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         02U14KZ Supplement 2 Cor Art with Nonaut Sub, Perc Endo Approach     Supplement Coronary Artery, Two Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         02U207Z Supplement 3 Cor Art with Autol Sub, Open Approach           Supplement Coronary Artery, Three Arteries with Autologous Tissue Substitute, Open Approach
Add:         02U208Z Supplement 3 Cor Art with Zooplastic, Open Approach          Supplement Coronary Artery, Three Arteries with Zooplastic Tissue, Open Approach
Add:         02U20JZ Supplement 3 Cor Art with Synth Sub, Open Approach           Supplement Coronary Artery, Three Arteries with Synthetic Substitute, Open Approach
Add:         02U20KZ Supplement 3 Cor Art with Nonaut Sub, Open Approach          Supplement Coronary Artery, Three Arteries with Nonautologous Tissue Substitute, Open Approach
Add:         02U237Z Supplement 3 Cor Art with Autol Sub, Perc Approach           Supplement Coronary Artery, Three Arteries with Autologous Tissue Substitute, Percutaneous Approach
Add:         02U238Z Supplement 3 Cor Art with Zooplastic, Perc Approach          Supplement Coronary Artery, Three Arteries with Zooplastic Tissue, Percutaneous Approach
Add:         02U23JZ Supplement 3 Cor Art with Synth Sub, Perc Approach           Supplement Coronary Artery, Three Arteries with Synthetic Substitute, Percutaneous Approach
Add:         02U23KZ Supplement 3 Cor Art with Nonaut Sub, Perc Approach          Supplement Coronary Artery, Three Arteries with Nonautologous Tissue Substitute, Percutaneous Approach
Add:         02U247Z Supplement 3 Cor Art with Autol Sub, Perc Endo Approach      Supplement Coronary Artery, Three Arteries with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         02U248Z Supplement 3 Cor Art with Zooplastic, Perc Endo Approach     Supplement Coronary Artery, Three Arteries with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         02U24JZ Supplement 3 Cor Art with Synth Sub, Perc Endo Approach      Supplement Coronary Artery, Three Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         02U24KZ Supplement 3 Cor Art with Nonaut Sub, Perc Endo Approach     Supplement Coronary Artery, Three Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         02U307Z Supplement 4+ Cor Art with Autol Sub, Open Approach          Supplement Coronary Artery, Four or More Arteries with Autologous Tissue Substitute, Open Approach
Add:         02U308Z Supplement 4+ Cor Art with Zooplastic, Open Approach         Supplement Coronary Artery, Four or More Arteries with Zooplastic Tissue, Open Approach
Add:         02U30JZ Supplement 4+ Cor Art with Synth Sub, Open Approach          Supplement Coronary Artery, Four or More Arteries with Synthetic Substitute, Open Approach
Add:         02U30KZ Supplement 4+ Cor Art with Nonaut Sub, Open Approach         Supplement Coronary Artery, Four or More Arteries with Nonautologous Tissue Substitute, Open Approach
Add:         02U337Z Supplement 4+ Cor Art with Autol Sub, Perc Approach          Supplement Coronary Artery, Four or More Arteries with Autologous Tissue Substitute, Percutaneous Approach
Add:         02U338Z Supplement 4+ Cor Art with Zooplastic, Perc Approach         Supplement Coronary Artery, Four or More Arteries with Zooplastic Tissue, Percutaneous Approach
Add:         02U33JZ Supplement 4+ Cor Art with Synth Sub, Perc Approach          Supplement Coronary Artery, Four or More Arteries with Synthetic Substitute, Percutaneous Approach
Add:         02U33KZ Supplement 4+ Cor Art with Nonaut Sub, Perc Approach         Supplement Coronary Artery, Four or More Arteries with Nonautologous Tissue Substitute, Percutaneous Approach
Add:         02U347Z Supplement 4+ Cor Art with Autol Sub, Perc Endo Approach     Supplement Coronary Artery, Four or More Arteries with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         02U348Z Supplement 4+ Cor Art with Zooplastic, Perc Endo Approach    Supplement Coronary Artery, Four or More Arteries with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         02U34JZ Supplement 4+ Cor Art with Synth Sub, Perc Endo Approach     Supplement Coronary Artery, Four or More Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach
Add:         02U34KZ Supplement 4+ Cor Art with Nonaut Sub, Perc Endo Approach    Supplement Coronary Artery, Four or More Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Add:         031209W Bypass Innom Art to Low Extrem Vn w Autol Vn, Open           Bypass Innominate Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Add:         03120AW Bypass Innom Art to Low Extrem Vn w Autol Art, Open          Bypass Innominate Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Add:         03120JW Bypass Innom Art to Low Extrem Vn w Synth Sub, Open          Bypass Innominate Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
Add:         03120KW Bypass Innom Art to Low Extrem Vn w Nonaut Sub, Open         Bypass Innominate Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
Add:         03120ZW Bypass Innominate Artery to Low Extrem Vn, Open Approach     Bypass Innominate Artery to Lower Extremity Vein, Open Approach
Add:         031309W Bypass R Subclav Art to Low Extrem Vn w Autol Vn, Open       Bypass Right Subclavian Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Add:         03130AW Bypass R Subclav Art to Low Extrem Vn w Autol Art, Open      Bypass Right Subclavian Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Add:         03130JW Bypass R Subclav Art to Low Extrem Vn w Synth Sub, Open      Bypass Right Subclavian Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
Add:         03130KW Bypass R Subclav Art to Low Extrem Vn w Nonaut Sub, Open     Bypass Right Subclavian Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
Add:         03130ZW Bypass R Subclav Art to Low Extrem Vn, Open Approach         Bypass Right Subclavian Artery to Lower Extremity Vein, Open Approach
Add:         031409W Bypass L Subclav Art to Low Extrem Vn w Autol Vn, Open       Bypass Left Subclavian Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Add:         03140AW Bypass L Subclav Art to Low Extrem Vn w Autol Art, Open      Bypass Left Subclavian Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Add:         03140JW Bypass L Subclav Art to Low Extrem Vn w Synth Sub, Open      Bypass Left Subclavian Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
Add:         03140KW Bypass L Subclav Art to Low Extrem Vn w Nonaut Sub, Open     Bypass Left Subclavian Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
Add:         03140ZW Bypass L Subclav Art to Low Extrem Vn, Open Approach         Bypass Left Subclavian Artery to Lower Extremity Vein, Open Approach
Add:         031509W Bypass R Axilla Art to Low Extrem Vn w Autol Vn, Open        Bypass Right Axillary Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Add:         03150AW Bypass R Axilla Art to Low Extrem Vn w Autol Art, Open       Bypass Right Axillary Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Add:         03150JW Bypass R Axilla Art to Low Extrem Vn w Synth Sub, Open       Bypass Right Axillary Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
Add:         03150KW Bypass R Axilla Art to Low Extrem Vn w Nonaut Sub, Open      Bypass Right Axillary Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
Add:         03150ZW Bypass Right Axillary Artery to Low Extrem Vn, Open Approach Bypass Right Axillary Artery to Lower Extremity Vein, Open Approach
Add:         031609W Bypass L Axilla Art to Low Extrem Vn w Autol Vn, Open        Bypass Left Axillary Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Add:         03160AW Bypass L Axilla Art to Low Extrem Vn w Autol Art, Open       Bypass Left Axillary Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Add:         03160JW Bypass L Axilla Art to Low Extrem Vn w Synth Sub, Open       Bypass Left Axillary Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
Add:         03160KW Bypass L Axilla Art to Low Extrem Vn w Nonaut Sub, Open      Bypass Left Axillary Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
Add:         03160ZW Bypass Left Axillary Artery to Low Extrem Vn, Open Approach  Bypass Left Axillary Artery to Lower Extremity Vein, Open Approach
Add:         031709W Bypass R Brach Art to Low Extrem Vn w Autol Vn, Open         Bypass Right Brachial Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Add:         03170AW Bypass R Brach Art to Low Extrem Vn w Autol Art, Open        Bypass Right Brachial Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Add:         03170JW Bypass R Brach Art to Low Extrem Vn w Synth Sub, Open        Bypass Right Brachial Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
Add:         03170KW Bypass R Brach Art to Low Extrem Vn w Nonaut Sub, Open       Bypass Right Brachial Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
Add:         03170ZW Bypass Right Brachial Artery to Low Extrem Vn, Open Approach Bypass Right Brachial Artery to Lower Extremity Vein, Open Approach
Add:         031809W Bypass L Brach Art to Low Extrem Vn w Autol Vn, Open         Bypass Left Brachial Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
Add:         03180AW Bypass L Brach Art to Low Extrem Vn w Autol Art, Open        Bypass Left Brachial Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
Add:         03180JW Bypass L Brach Art to Low Extrem Vn w Synth Sub, Open        Bypass Left Brachial Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
Add:         03180KW Bypass L Brach Art to Low Extrem Vn w Nonaut Sub, Open       Bypass Left Brachial Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
Add:         03180ZW Bypass Left Brachial Artery to Low Extrem Vn, Open Approach  Bypass Left Brachial Artery to Lower Extremity Vein, Open Approach
Add:         03193ZF Bypass Right Ulnar Artery to Lower Arm Vein, Perc Approach   Bypass Right Ulnar Artery to Lower Arm Vein, Percutaneous Approach
Add:         031A3ZF Bypass Left Ulnar Artery to Lower Arm Vein, Perc Approach    Bypass Left Ulnar Artery to Lower Arm Vein, Percutaneous Approach
Add:         031B3ZF Bypass Right Radial Artery to Lower Arm Vein, Perc Approach  Bypass Right Radial Artery to Lower Arm Vein, Percutaneous Approach
Add:         031C3ZF Bypass Left Radial Artery to Lower Arm Vein, Perc Approach   Bypass Left Radial Artery to Lower Arm Vein, Percutaneous Approach
Delete:      0370046 Dilate R Int Mamm Art, Bifurc, w Drug-elut Intra, Open       Dilation of Right Internal Mammary Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      0370056 Dilate R Int Mamm Art, Bifurc, w 2 Drug-elut, Open           Dilation of Right Internal Mammary Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      0370066 Dilate R Int Mamm Art, Bifurc, w 3 Drug-elut, Open           Dilation of Right Internal Mammary Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      0370076 Dilate R Int Mamm Art, Bifurc, w 4 Drug-elut, Open           Dilation of Right Internal Mammary Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      03700D6 Dilate R Int Mamm Art, Bifurc, w Intralum Dev, Open          Dilation of Right Internal Mammary Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      03700E6 Dilate R Int Mamm Art, Bifurc, w 2 Intralum Dev, Open        Dilation of Right Internal Mammary Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      03700F6 Dilate R Int Mamm Art, Bifurc, w 3 Intralum Dev, Open        Dilation of Right Internal Mammary Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      03700G6 Dilate R Int Mamm Art, Bifurc, w 4+ Intralum Dev, Open       Dilation of Right Internal Mammary Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      03700Z6 Dilation of R Int Mamm Art, Bifurc, Open Approach            Dilation of Right Internal Mammary Artery, Bifurcation, Open Approach
Delete:      0370346 Dilate R Int Mamm Art, Bifurc, w Drug-elut Intra, Perc       Dilation of Right Internal Mammary Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      0370356 Dilate R Int Mamm Art, Bifurc, w 2 Drug-elut, Perc           Dilation of Right Internal Mammary Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      0370366 Dilate R Int Mamm Art, Bifurc, w 3 Drug-elut, Perc           Dilation of Right Internal Mammary Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      0370376 Dilate R Int Mamm Art, Bifurc, w 4 Drug-elut, Perc           Dilation of Right Internal Mammary Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      03703D6 Dilate R Int Mamm Art, Bifurc, w Intralum Dev, Perc          Dilation of Right Internal Mammary Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      03703E6 Dilate R Int Mamm Art, Bifurc, w 2 Intralum Dev, Perc        Dilation of Right Internal Mammary Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      03703F6 Dilate R Int Mamm Art, Bifurc, w 3 Intralum Dev, Perc        Dilation of Right Internal Mammary Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      03703G6 Dilate R Int Mamm Art, Bifurc, w 4+ Intralum Dev, Perc       Dilation of Right Internal Mammary Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      03703Z6 Dilation of R Int Mamm Art, Bifurc, Perc Approach            Dilation of Right Internal Mammary Artery, Bifurcation, Percutaneous Approach
Delete:      0370446 Dilate R Int Mamm Art, Bifurc, w Drug-elut Intra, Perc Endo  Dilation of Right Internal Mammary Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      0370456 Dilate R Int Mamm Art, Bifurc, w 2 Drug-elut, Perc Endo      Dilation of Right Internal Mammary Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      0370466 Dilate R Int Mamm Art, Bifurc, w 3 Drug-elut, Perc Endo      Dilation of Right Internal Mammary Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      0370476 Dilate R Int Mamm Art, Bifurc, w 4 Drug-elut, Perc Endo      Dilation of Right Internal Mammary Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
